Country;y1975;y1976;y1977;y1978;y1979;y1980;y1981;y1982;y1983;y1984;y1985;y1986;y1987;y1988;y1989;y1990;y1991;y1992;y1993;y1994;y1995;y1996;y1997;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013;y2014;y2015;y2016
New Zealand;12.03;;;;;11.81;;;;;11.81;;;;;11.69;;;;;11.81;;;;;11.98;;;;;12;;;;;11.12;;;;;;
Nicaragua;3.38;;;;;3.84;;;;;4.21;;;;;4.64;;;;;5.19;;;;;5.7;;;;;6.28;;;;;6.82;;;;;;
Niger;0.53;;;;;0.67;;;;;0.85;;;;;1.08;;;;;1.28;;;;;1.43;;;;;1.62;;;;;1.95;;;;;;
Norway;8.77;;;;;9.32;;;;;10.16;;;;;10.79;;;;;11.31;;;;;11.56;;;;;11.91;;;;;11.65;;;;;;
Pakistan;1.78;;;;;2.1;;;;;2.5;;;;;2.95;;;;;3.44;;;;;3.98;;;;;4.99;;;;;5.19;;;;;;
Panama;6.1;;;;;6.89;;;;;7.59;;;;;8.08;;;;;8.71;;;;;9.24;;;;;9.51;;;;;9.72;;;;;;
Paraguay;4.85;;;;;5.37;;;;;5.96;;;;;6.43;;;;;6.4;;;;;6.55;;;;;8.03;;;;;7.99;;;;;;
Peru;5.43;;;;;6.2;;;;;6.75;;;;;7.39;;;;;8.09;;;;;9.05;;;;;9.88;;;;;9.28;;;;;;
Philippines;5.56;;;;;6.26;;;;;6.64;;;;;7.15;;;;;7.59;;;;;7.96;;;;;8.27;;;;;8.65;;;;;;
Poland;8.19;;;;;8.31;;;;;8.69;;;;;9.75;;;;;10.32;;;;;10.74;;;;;11.36;;;;;11.62;;;;;;
Portugal;4.27;;;;;5.45;;;;;6.08;;;;;6.73;;;;;7.49;;;;;8.41;;;;;8.12;;;;;8.71;;;;;;
Reunion;4.5;;;;;5.26;;;;;5.9;;;;;6.46;;;;;6.97;;;;;7.42;;;;;7.85;;;;;8.29;;;;;;
Romania;8.38;;;;;9.12;;;;;9.62;;;;;10.12;;;;;10.48;;;;;10.64;;;;;10.66;;;;;11.08;;;;;;
Russia;7.29;;;;;8.36;;;;;9.37;;;;;10.21;;;;;10.73;;;;;11.54;;;;;11.76;;;;;12.02;;;;;;
Senegal;2.49;;;;;2.52;;;;;2.45;;;;;2.37;;;;;2.26;;;;;1.98;;;;;1.67;;;;;3.11;;;;;;
Serbia;6.81;;;;;7.42;;;;;7.92;;;;;8.15;;;;;8.88;;;;;9.52;;;;;10.6;;;;;11.52;;;;;;
Sierra Leone;1.14;;;;;1.44;;;;;1.81;;;;;2.17;;;;;2.55;;;;;2.9;;;;;3.36;;;;;4.28;;;;;;
South Africa;4.9;;;;;5.18;;;;;5.21;;;;;6.89;;;;;8.37;;;;;7.92;;;;;8.86;;;;;9.89;;;;;;
